Top Metal Voltage (mV):	0.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-29.624341	-36.263543
250.000000	77.681545	84.731963
500.000000	192.050002	198.849076
750.000000	307.893907	325.251340
1000.000000	404.462705	439.378976
1250.000000	516.003699	560.267830
1500.000000	620.936588	688.484301
1750.000000	737.880508	811.377671
2000.000000	830.697738	916.045474
2250.000000	936.416537	1011.659070
2500.000000	1073.686546	1143.533775

Top Metal Voltage (mV):	250.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-140.300047	-153.731049
250.000000	-29.092734	-35.758827
500.000000	81.729278	82.876359
750.000000	187.014440	202.399189
1000.000000	298.641667	315.564807
1250.000000	410.878117	451.952960
1500.000000	521.084122	563.805710
1750.000000	622.762125	678.208434
2000.000000	745.906026	803.052922
2250.000000	847.559686	918.741748
2500.000000	946.937731	1040.402383

Top Metal Voltage (mV):	500.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-242.609805	-276.964370
250.000000	-139.244222	-154.917891
500.000000	-29.413403	-36.104099
750.000000	81.417238	85.128526
1000.000000	193.102732	206.761796
1250.000000	298.797549	321.459328
1500.000000	410.604271	439.543012
1750.000000	524.961819	568.785920
2000.000000	617.044342	694.220300
2250.000000	737.026498	797.558712
2500.000000	840.648485	922.393589

Top Metal Voltage (mV):	750.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-353.746724	-394.547701
250.000000	-246.482467	-276.183734
500.000000	-138.456214	-155.140568
750.000000	-29.142096	-35.845223
1000.000000	80.043027	85.029709
1250.000000	186.733028	204.295538
1500.000000	302.809441	327.411671
1750.000000	403.094578	441.786679
2000.000000	522.081326	562.293002
2250.000000	620.891765	676.511452
2500.000000	729.344278	802.991564

Top Metal Voltage (mV):	1000.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-462.870744	-513.662530
250.000000	-356.767228	-386.801595
500.000000	-247.786415	-273.296527
750.000000	-139.066288	-154.774146
1000.000000	-29.184224	-35.892512
1250.000000	82.388960	85.614744
1500.000000	187.315253	200.673057
1750.000000	297.619428	320.292204
2000.000000	405.315738	442.708319
2250.000000	508.747078	558.870316
2500.000000	621.932260	685.943692

Top Metal Voltage (mV):	1250.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-581.637556	-637.800718
250.000000	-468.786402	-514.229230
500.000000	-358.640712	-393.556766
750.000000	-251.147145	-275.860589
1000.000000	-138.165631	-157.915433
1250.000000	-29.175592	-35.776115
1500.000000	78.430789	81.725302
1750.000000	188.906645	207.440796
2000.000000	299.564133	320.956198
2250.000000	416.294569	454.923743
2500.000000	519.450840	564.545508

Top Metal Voltage (mV):	1500.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-691.471740	-758.760327
250.000000	-565.204333	-620.967216
500.000000	-467.226037	-518.269088
750.000000	-358.923320	-406.827824
1000.000000	-248.184592	-274.965988
1250.000000	-137.112738	-155.474366
1500.000000	-29.243359	-35.903772
1750.000000	80.333877	82.684091
2000.000000	193.880281	205.555873
2250.000000	288.312409	320.859063
2500.000000	402.972657	440.879708

Top Metal Voltage (mV):	1750.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-783.303801	-870.608240
250.000000	-684.458195	-740.338142
500.000000	-570.697701	-634.985070
750.000000	-463.012082	-515.280197
1000.000000	-358.632195	-393.984120
1250.000000	-248.254925	-276.195328
1500.000000	-141.368410	-155.145148
1750.000000	-29.091986	-35.784714
2000.000000	77.267447	84.689468
2250.000000	186.664906	201.236261
2500.000000	298.213393	320.719676

Top Metal Voltage (mV):	2000.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-901.044509	-995.304357
250.000000	-792.363527	-879.019443
500.000000	-674.425515	-767.186218
750.000000	-574.063669	-633.224352
1000.000000	-471.139071	-514.602470
1250.000000	-357.503386	-397.851144
1500.000000	-251.206061	-278.165325
1750.000000	-140.142707	-154.925341
2000.000000	-29.027105	-35.665855
2250.000000	80.902521	84.018483
2500.000000	184.984613	205.150281

Top Metal Voltage (mV):	2250.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-1008.181843	-1096.085634
250.000000	-877.013059	-988.648559
500.000000	-793.564056	-879.353093
750.000000	-685.126648	-764.373210
1000.000000	-572.363599	-629.356879
1250.000000	-468.576859	-524.859830
1500.000000	-355.532089	-393.672871
1750.000000	-251.241042	-272.324716
2000.000000	-136.693692	-155.598989
2250.000000	-29.382960	-36.036064
2500.000000	79.954885	82.725509

Top Metal Voltage (mV):	2500.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-1119.303796	-1242.206540
250.000000	-1013.903713	-1110.351839
500.000000	-895.619912	-1012.262905
750.000000	-804.589165	-892.272787
1000.000000	-686.002806	-762.259345
1250.000000	-581.620856	-639.798672
1500.000000	-464.726384	-501.280640
1750.000000	-355.757770	-393.419439
2000.000000	-246.992929	-270.474287
2250.000000	-139.900882	-154.792303
2500.000000	-29.417590	-36.072440

