Top Metal Voltage (mV):	-1000.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	29.341181	-35.971517
-750.000000	-79.195436	85.465564
-500.000000	-191.705685	203.764595
-250.000000	-293.674153	323.735436
0.000000	-405.788078	440.241113
250.000000	-520.542224	559.110294
500.000000	-624.488522	692.803487
750.000000	-730.236076	807.215632
1000.000000	-837.785919	943.359494
1250.000000	-967.812639	1039.678884
1500.000000	-1050.393224	1167.733439
1750.000000	-1193.118574	1303.899975
2000.000000	-1272.563303	1392.177506
2250.000000	-1396.277538	1522.556111
2500.000000	-1530.125902	1629.461930

Top Metal Voltage (mV):	-750.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	136.649674	-155.638758
-750.000000	29.515849	-36.149383
-500.000000	-79.342167	81.984243
-250.000000	-195.445987	201.973139
0.000000	-298.409901	326.484482
250.000000	-421.473049	441.186411
500.000000	-509.975562	558.309951
750.000000	-612.858281	667.108065
1000.000000	-735.217558	809.054833
1250.000000	-854.399460	910.149613
1500.000000	-951.166884	1041.712632
1750.000000	-1066.853596	1162.954107
2000.000000	-1200.305966	1273.145121
2250.000000	-1313.168462	1372.487294
2500.000000	-1409.848508	1509.773152

Top Metal Voltage (mV):	-500.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	251.377009	-276.644333
-750.000000	138.754667	-157.059701
-500.000000	29.357475	-36.023003
-250.000000	-79.842644	82.074284
0.000000	-185.172025	202.839663
250.000000	-294.346698	323.075522
500.000000	-407.584176	436.127129
750.000000	-503.212636	554.102054
1000.000000	-641.959026	685.069375
1250.000000	-752.842489	787.955087
1500.000000	-852.804254	922.134788
1750.000000	-952.293730	1034.709262
2000.000000	-1083.508271	1162.618915
2250.000000	-1192.983946	1313.608613
2500.000000	-1285.808728	1412.049126

Top Metal Voltage (mV):	-250.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	353.656057	-398.030227
-750.000000	249.128089	-267.440564
-500.000000	138.029233	-154.754356
-250.000000	29.301153	-35.981551
0.000000	-81.786188	83.407156
250.000000	-193.009185	206.012934
500.000000	-297.709333	324.747381
750.000000	-410.046978	446.216294
1000.000000	-520.143204	558.227026
1250.000000	-614.826678	683.770236
1500.000000	-743.066693	785.224392
1750.000000	-827.743318	901.721267
2000.000000	-940.634301	1026.080308
2250.000000	-1056.826604	1156.452411
2500.000000	-1166.137742	1308.484172

Top Metal Voltage (mV):	0.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	472.558467	-515.321161
-750.000000	359.908525	-396.486999
-500.000000	248.047355	-277.141853
-250.000000	137.266363	-157.832140
0.000000	29.372418	-36.047715
250.000000	-82.176784	83.055301
500.000000	-192.578405	205.065056
750.000000	-299.218219	323.660679
1000.000000	-404.814999	440.057415
1250.000000	-510.075479	556.676731
1500.000000	-638.894226	701.051596
1750.000000	-734.031022	788.285592
2000.000000	-842.274283	914.660360
2250.000000	-951.725231	1050.164657
2500.000000	-1058.905108	1144.030337

Top Metal Voltage (mV):	250.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	582.768538	-629.971956
-750.000000	458.146642	-517.897219
-500.000000	356.516146	-395.258171
-250.000000	252.408000	-274.915983
0.000000	137.753482	-153.859118
250.000000	29.224761	-35.929725
500.000000	-80.940333	85.096041
750.000000	-189.271315	207.055224
1000.000000	-298.369273	324.024172
1250.000000	-404.705131	440.741443
1500.000000	-516.785139	566.367240
1750.000000	-629.665584	685.666371
2000.000000	-734.924109	797.247413
2250.000000	-834.254787	931.822945
2500.000000	-964.757954	1041.141707

Top Metal Voltage (mV):	500.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	687.784067	-770.473004
-750.000000	577.550000	-629.122515
-500.000000	457.655129	-523.493687
-250.000000	356.892107	-393.301983
0.000000	247.449969	-276.842966
250.000000	137.536070	-155.228141
500.000000	29.115045	-35.755862
750.000000	-78.291471	83.271375
1000.000000	-185.237381	199.899393
1250.000000	-291.053161	321.246413
1500.000000	-409.872742	439.529777
1750.000000	-516.138449	565.474118
2000.000000	-625.645134	691.258328
2250.000000	-730.356239	810.538141
2500.000000	-861.406513	943.526848

Top Metal Voltage (mV):	750.000000
